,idSucursal,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
1192,287,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,San Miguel,Cl Angel Delia 1621,-34.5406985,-58.710821,287 - San Miguel,Autoservicio
1193,288,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Acoyte 232,-34.615489399999994,-58.4376446,288 - Caballito,Autoservicio
1194,289,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Benito Juarez,Av Libertad 150,-37.671562,-59.807378,289 - Benito Juarez,Autoservicio
1195,29,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Asamblea 968,-34.6351629,-58.43834029999999,29 - Parque Chacabuco,Autoservicio
1196,290,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Austria 2355,-34.5861813,-58.4015054,290 - Recoleta,Autoservicio
1197,291,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Alvarez Thomas 1520,-34.578467,-58.4634818,291 - Villa Ortuzar,Autoservicio
1198,292,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Eva Peron 5061,-34.658575899999995,-58.4799423,292 - Mataderos,Autoservicio
1199,293,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Bolivar 1474,-34.625150399999995,-58.3726168,293 - San Telmo,Autoservicio
1200,294,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Montaa±Eses 2014,-34.5582289,-58.44821829999999,294 - Belgrano,Autoservicio
1201,296,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av San Martin 6948,-34.5915008,-58.511689,296 - Villa Devoto,Autoservicio
1202,297,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Daireaux,Cl Lavalle 99,-36.599707,-61.749462,297 - Daireaux,Autoservicio
1203,298,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Olavarria,Cl Rivadavia 2746,-36.894088,-60.32296700000001,298 - Olavarria,Autoservicio
1204,299,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Alberdi 6691,-34.657241600000006,-58.50957639999999,299 - Mataderos,Autoservicio
1205,3,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Entre Rios 735,-34.6173202,-58.39169129999999,3 - Balvanera,Autoservicio
1206,30,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Moron,Cl Rivadavia 6275,-34.64601079999999,-58.5929389,30 - Moron,Autoservicio
1207,300,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Santa Fe 5222,-34.5766733,-58.4315629,300 - Palermo,Autoservicio
1208,301,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Marcelo T De Alvear 1459,-34.5970782,-58.3877718,301 - Recoleta,Autoservicio
1209,302,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Gaona 2416,-34.6144399,-58.46084989999999,302 - Flores,Autoservicio
1210,303,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Sarandi 260,-34.6123916,-58.3947104,303 - Balvanera,Autoservicio
1211,304,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Azcuenaga 1459,-34.5919508,-58.3983517,304 - Recoleta,Autoservicio
1212,305,15,1,Supermercados Dia,Dia Argentina S.A,Ar-E,Gualeguaychu,Cl Rivadavia 590,-33.0071111,-58.5119321,305 - Gualeguaychu,Autoservicio
1213,306,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Emilio Castro 7471,-34.6552174,-58.5223907,306 - Liniers,Autoservicio
1214,307,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Charcas 3259,-34.592082399999995,-58.41185260000001,307 - Recoleta,Autoservicio
1215,308,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Gaona 3163,-34.6182412,-58.46994220000001,308 - Villa General Mitre,Autoservicio
1216,31,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Artigas 4746,-34.583122499999995,-58.4980504,31 - Villa Pueyrredon,Autoservicio
1217,310,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Pehuajo,Cl Mitre 316,-35.81316,-61.896981,310 - Pehuajo,Autoservicio
1218,313,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Carmen De Areco,Av Mitre Y Dowling 557,-34.3806686,-59.8223267,313 - Carmen De Areco,Autoservicio
1219,316,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Nazca 4044,-34.5911227,-58.4978318,316 - Agronomia,Autoservicio
1220,317,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Crisologo Larralde 3012,-34.5520142,-58.4736585,317 - Nua±Ez,Autoservicio
1221,319,15,1,Supermercados Dia,Dia Argentina S.A,Ar-E,Colon,Cl San Martin 680,-32.2252713,-58.1454569,319 - Colon,Supermercado
